scheme,model,checkpoint,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std
scheme_A_1to3neg_4to6neu_7to10pos,ConvBERTurk,dbmdz/convbert-base-turkish-cased,3,0.8599872908282143,0.0049358950212797775,0.5988084471340196,0.0037609615235588544,0.8769916664796025,0.0035410574823423442,0.6637880819101164,0.010542290666968481,0.4700648954489819,0.009093373919506058
scheme_A_1to3neg_4to6neu_7to10pos,BERTurk,dbmdz/bert-base-turkish-cased,3,0.8490432817905811,0.002588477410128286,0.5850436529772082,0.003929645326970545,0.8690747613623927,0.0020417378111005583,0.6607465061697116,0.004870118664713601,0.4450591648135392,0.006096176514075064
scheme_B_1to4neg_5to6neu_7to10pos,ConvBERTurk,dbmdz/convbert-base-turkish-cased,3,0.8505260184989055,0.004905501290032311,0.5870884869771354,0.010309348370903772,0.8705055137753739,0.0034042436304742942,0.656619073702045,0.011212682454791118,0.44857702607916344,0.00855817630610689
scheme_B_1to4neg_5to6neu_7to10pos,BERTurk,dbmdz/bert-base-turkish-cased,3,0.8339334886676552,0.010885545568760521,0.5701496905050171,0.007319461607618272,0.858998224222724,0.0074690206473807955,0.6562271086134409,0.010511332305119256,0.4229485421859491,0.008870733413045178
